For class              bus               on the CIFAR-100 dataset, Testing accuracy is 0.770000
For class           motorcycle           on the CIFAR-100 dataset, Testing accuracy is 0.590000
For class          pickup truck          on the CIFAR-100 dataset, Testing accuracy is 0.570000
For class             train              on the CIFAR-100 dataset, Testing accuracy is 0.880000
For class           lawn-mower           on the CIFAR-100 dataset, Testing accuracy is 0.740000
For class             rocket             on the CIFAR-100 dataset, Testing accuracy is 0.590000
For class           streetcar            on the CIFAR-100 dataset, Testing accuracy is 0.660000
For class              tank              on the CIFAR-100 dataset, Testing accuracy is 0.580000
For class            tractor             on the CIFAR-100 dataset, Testing accuracy is 0.680000
=========================================================================================================================
For the best model on the CIFAR-100 dataset, Total testing accuracy is 0.703600
